nom,lon,lat,inception,height,constructionyear,prod
cimetière de Montmartre,2.33027777778,48.88777777778,1825-01-01T00:00:00Z,,1825.0,0
gare de Paris-Lyon,2.37361111111,48.84472222222,1847-01-01T00:00:00Z,,1847.0,0
lycée Charlemagne,2.36083333,48.85444444,1802-01-01T00:00:00Z,,1802.0,0
Bréguet - Sabin,2.37054,48.85675,1906-01-01T00:00:00Z,,1906.0,0
gare de Denfert-Rochereau,2.332778,48.833333,1846-06-07T00:00:00Z,,1846.0,0
Bataclan,2.3708333333300002,48.863055555559995,1865-01-01T00:00:00Z,,1865.0,0
jardin des Tuileries,2.32611111111,48.86388888889,1564-01-01T00:00:00Z,,1564.0,0
Petit Palais,2.31455278,48.86603333,1902-01-01T00:00:00Z,,1902.0,0
musée national des Arts asiatiques - Guimet,2.2939,48.8653,1889-01-01T00:00:00Z,,1889.0,0
Olympia,2.3283333333300003,48.87027777778,1893-01-01T00:00:00Z,,1893.0,0
moulin de la Galette,2.33708333333,48.88736111111,1622-01-01T00:00:00Z,,1622.0,0
hôpital de la Salpêtrière,2.365,48.837,1656-01-01T00:00:00Z,,1656.0,0
Gambetta,2.39833,48.86472,1905-01-25T00:00:00Z,,1905.0,0
lycée Louis-le-Grand,2.344528,48.848056,1563-10-11T00:00:00Z,,1563.0,0
chapelle expiatoire,2.322778,48.873611,1815-01-01T00:00:00Z,,1815.0,0
Bouillon Chartier,2.34365,48.873438,1896-01-01T00:00:00Z,,1896.0,0
église Saint-Philippe-du-Roule,2.31056,48.8734,1784-01-01T00:00:00Z,,1784.0,0
cirque d'hiver,2.36753055556,48.86336944444,1852-01-01T00:00:00Z,,1852.0,0
synagogue de la rue des Tournelles,2.367178,48.85526,1876-01-01T00:00:00Z,,1876.0,0
hôpital Lariboisière,2.35305556,48.88305556,1854-01-01T00:00:00Z,,1854.0,0
église Sainte-Marie des Batignolles,2.31777777778,48.886666666669996,1851-01-01T00:00:00Z,,1851.0,0
chapelle de Jésus-Enfant,2.318339,48.858969,1878-01-01T00:00:00Z,,1878.0,0
hôtel de ville de Paris,2.352222,48.856389,1357-01-01T00:00:00Z,,1357.0,0
pont de la Concorde,2.31944,48.86333,1787-01-01T00:00:00Z,,1787.0,0
piscine Molitor,2.25333333333,48.84527777778,1929-01-01T00:00:00Z,,1929.0,0
hôtel Ritz,2.3289,48.868,1898-01-01T00:00:00Z,,1898.0,0
château de Vincennes,2.43583333333,48.84277777778,1340-01-01T00:00:00Z,,1340.0,0
église Sainte-Anne de la Butte-aux-Cailles,2.35,48.8261,1912-01-01T00:00:00Z,,1912.0,0
Réaumur - Sébastopol,2.35203525525,48.86631183019,1904-01-01T00:00:00Z,,1904.0,0
hôtel de Crillon,2.321389,48.867222,1909-01-01T00:00:00Z,,1909.0,0
fontaine Saint-Michel,2.3437,48.85314444,1860-01-01T00:00:00Z,,1860.0,0
jardin des plantes de Paris,2.35972222222,48.84388888889,1635-01-01T00:00:00Z,,1635.0,0
École normale supérieure,2.34444444444,48.84194444444,1794-10-30T00:00:00Z,,1794.0,0
Ménilmontant,2.383626,48.866211,1903-01-01T00:00:00Z,,1903.0,0
palais de justice de Paris,2.345051,48.855722,1868-01-01T00:00:00Z,,1868.0,0
Père Lachaise,2.3875,48.86306,1903-02-25T00:00:00Z,,1903.0,0
église Notre-Dame-de-la-Croix de Ménilmontant,2.38685555556,48.868483333330005,1880-01-01T00:00:00Z,,1880.0,0
À l'enseigne du lion d'or,2.36327778,48.87305556,1900-01-01T00:00:00Z,,1900.0,0
Lipp,2.332628,48.854122,1880-01-01T00:00:00Z,,1880.0,0
colonne de Juillet,2.36916666667,48.85305555556,1830-01-01T00:00:00Z,,1830.0,0
école normale de musique de Paris,2.30889,48.88389,1919-01-01T00:00:00Z,,1919.0,0
école nationale de la France d'outre-mer,2.33642,48.84422,1934-01-01T00:00:00Z,,1934.0,0
église Notre-Dame-de-Bonne-Nouvelle,2.349722,48.869444,1830-03-25T00:00:00Z,,1830.0,0
cimetière de Picpus,2.40027777778,48.84388888889,1640-01-01T00:00:00Z,,1640.0,0
square Louis-XIII,2.36549,48.8557,1682-01-01T00:00:00Z,,1682.0,0
pont de Bir-Hakeim,2.28777777778,48.855555555559995,1905-01-01T00:00:00Z,,1905.0,0
Folies Bergère,2.345,48.87416667,1869-01-01T00:00:00Z,,1869.0,0
église de la Madeleine,2.32416666667,48.87,1845-01-01T00:00:00Z,,1845.0,0
abbaye de Penthemont,2.32194444,48.85638889,1201-01-01T00:00:00Z,,1201.0,0
pont Neuf,2.34161666667,48.85744722222,1578-01-01T00:00:00Z,,1578.0,0
théâtre de Paris,2.331612,48.878405,1891-01-01T00:00:00Z,,1891.0,0
théâtre de la Madeleine,2.32038,48.8709,1924-01-01T00:00:00Z,,1924.0,0
pont Alexandre-III,2.31361,48.86361,1900-01-01T00:00:00Z,,1900.0,0
institut Pasteur,2.31166666667,48.84,1887-01-01T00:00:00Z,,1887.0,0
grande mosquée de Paris,2.355,48.84194444444,1926-01-01T00:00:00Z,,1926.0,0
église Saint-François-Xavier de Paris,2.31333333333,48.85055555556,1873-01-01T00:00:00Z,,1873.0,0
hôtel de Lauzun,2.3591666666699997,48.85166666667,1658-01-01T00:00:00Z,,1658.0,0
pont d'Iéna,2.292222,48.859722,1814-01-01T00:00:00Z,,1814.0,0
maison de Balzac,2.28083333333,48.855277777779996,1949-01-01T00:00:00Z,,1949.0,0
jardin d'agronomie tropicale,2.466,48.833,1899-01-01T00:00:00Z,,1899.0,0
église Saint-Germain-l'Auxerrois,2.341111,48.859444,1220-01-01T00:00:00Z,,1220.0,0
fontaine de Jarente,2.36344444,48.85572222,1783-01-01T00:00:00Z,,1783.0,0
galerie de Paléontologie et d'Anatomie comparée,2.356012,48.841086,1898-01-01T00:00:00Z,,1898.0,0
théâtre du Châtelet,2.3463888888900004,48.85777777778,1862-01-01T00:00:00Z,,1862.0,0
institut catholique de Paris,2.3295,48.8478,1875-01-01T00:00:00Z,,1875.0,0
cathédrale Saint-Alexandre-Nevsky,2.3019916666699998,48.87755833333,1847-01-01T00:00:00Z,,1847.0,0
Villiers,2.31472,48.88111,1903-01-01T00:00:00Z,,1903.0,0
basilique Sainte-Clotilde,2.31916666667,48.85833333333,1857-11-30T00:00:00Z,,1857.0,0
hôtel Lutetia,2.3275,48.85111111111,1910-01-01T00:00:00Z,,1910.0,0
église Saint-Pierre-de-Montrouge,2.32702777778,48.82863888889,1872-01-01T00:00:00Z,,1872.0,0
église Notre-Dame-d'Auteuil,2.26944444444,48.847222222220005,1892-01-01T00:00:00Z,,1892.0,0
passage Brady,2.35527777778,48.871125,1828-01-01T00:00:00Z,,1828.0,0
synagogue de la rue Pavée,2.3604861111099997,48.855972222220004,1914-01-01T00:00:00Z,,1914.0,0
synagogue Nazareth,2.360128,48.866853,1852-01-01T00:00:00Z,,1852.0,0
église Saint-Nicolas-du-Chardonnet,2.35027777778,48.84916666667,1703-01-01T00:00:00Z,,1703.0,0
musée d'Ennery,2.2813888888900005,48.871666666669995,1908-01-01T00:00:00Z,,1908.0,0
église Saint-Jean de Montmartre,2.33788333333,48.88410555556,1904-01-01T00:00:00Z,,1904.0,0
église Notre-Dame-des-Blancs-Manteaux,2.357778,48.858611,1690-01-01T00:00:00Z,,1690.0,0
église Saint-Leu-Saint-Gilles,2.349722,48.862778,1235-01-01T00:00:00Z,,1235.0,0
église Sainte-Élisabeth-de-Hongrie,2.360278,48.865833,1628-01-01T00:00:00Z,,1628.0,0
salle Pleyel,2.3010361111099997,48.87699444444,1839-01-01T00:00:00Z,,1839.0,0
passage du Grand-Cerf,2.34925,48.864814,1825-01-01T00:00:00Z,,1825.0,0
musée national Eugène-Delacroix,2.3354,48.8546,1971-01-01T00:00:00Z,,1971.0,0
Sentier,2.346387,48.867569,1904-01-01T00:00:00Z,,1904.0,0
Le Train bleu,2.37333333333,48.845,1901-01-01T00:00:00Z,,1901.0,0
palais Brongniart,2.34082777778,48.869169444440004,1825-11-01T00:00:00Z,,1825.0,0
ménagerie du Jardin des plantes,2.360325,48.845446,1794-12-11T00:00:00Z,,1794.0,0
théâtre Le Ranelagh,2.27786,48.85447,1900-01-01T00:00:00Z,,1900.0,0
cathédrale américaine de Paris,2.30083333333,48.8675,1881-01-01T00:00:00Z,,1881.0,0
église du Val-de-Grâce,2.34194444444,48.840555555559995,1667-01-01T00:00:00Z,,1667.0,0
Élysée Montmartre,2.34333333333,48.88305555556,1807-01-01T00:00:00Z,,1807.0,0
église Saint-Ambroise,2.37556389,48.86106667,1910-12-07T00:00:00Z,,1910.0,0
abbaye de Port-Royal de Paris,2.3384,48.838763,1566-01-01T00:00:00Z,,1566.0,0
cathédrale grecque Saint-Étienne de Paris,2.2986,48.8666,1890-01-01T00:00:00Z,,1890.0,0
Centquatre-Paris,2.36989167,48.89016667,2008-10-01T00:00:00Z,,2008.0,0
centre hospitalier Sainte-Anne,2.33845,48.8287,1651-01-01T00:00:00Z,,1651.0,0
chapelle Notre-Dame-de-Consolation de Paris,2.30602777778,48.86555555556,1901-01-01T00:00:00Z,,1901.0,0
chapelle du Père-Lachaise,2.39287,48.8612,1823-01-01T00:00:00Z,,1823.0,0
château de Bagnolet,2.40625,48.861944444440006,1738-01-01T00:00:00Z,,1738.0,0
cimetière des Juifs Portugais de Paris,2.37306,48.8867,1780-01-01T00:00:00Z,,1780.0,0
cité Berryer,2.32299,48.8691,1745-01-01T00:00:00Z,,1745.0,0
cité de Trévise,2.34699,48.8751,1840-01-01T00:00:00Z,,1840.0,0
cloître et église des Billettes,2.355,48.858,1758-01-01T00:00:00Z,,1758.0,0
collège Stanislas,2.32726,48.84414,1804-01-01T00:00:00Z,,1804.0,0
pagode de Vincennes,2.415,48.82861111,1931-01-01T00:00:00Z,,1931.0,0
cour du Commerce-Saint-André,2.33908,48.853,1776-01-01T00:00:00Z,,1776.0,0
couvent des Grands-Augustins,2.33352,48.8567,1263-01-01T00:00:00Z,,1263.0,0
crédit municipal de Paris,2.357319,48.858942,1637-01-01T00:00:00Z,,1637.0,0
façade du palais de la porte Dorée,2.40916,48.835,1929-01-01T00:00:00Z,,1929.0,0
fondation Deutsch de la Meurthe,2.335,48.82027778,1925-01-01T00:00:00Z,,1925.0,0
fontaine du jardin Villemin,2.36163,48.8751,1846-01-01T00:00:00Z,,1846.0,0
galerie de la Madeleine,2.32269,48.8697,1846-01-01T00:00:00Z,,1846.0,0
Grand-Salle du Palais de la Cité,2.34543,48.855166,1300-01-01T00:00:00Z,,1300.0,0
grande fresque de la gare de Lyon,2.37467,48.8448,1900-01-01T00:00:00Z,,1900.0,0
passage des Panoramas,2.34166666667,48.871111111110004,1800-01-01T00:00:00Z,,1800.0,0
prison de La Force,2.35556,48.8556,1780-01-01T00:00:00Z,,1780.0,0
hôtel Cail,2.3175,48.8775,1865-01-01T00:00:00Z,,1865.0,0
colonne Vendôme,2.329414,48.867469,1800-01-01T00:00:00Z,44.0,1800.0,0
pont Mirabeau,2.27639,48.84639,1896-01-01T00:00:00Z,15.0,1896.0,0
tombe de Frédéric Chopin,2.39277777778,48.86,1850-01-01T00:00:00Z,45.0,1850.0,0
tour Eiffel,2.294479,48.858296,1887-01-01T00:00:00Z,300.0,1887.0,0
monument aux morts du Père-Lachaise,2.39249722222,48.86108055556,1899-11-01T00:00:00Z,69.0,1899.0,0
tombe d'Adolphe Thiers,2.392972,48.861111,1887-09-03T00:00:00Z,14.0,1887.0,0
tombe de François-Joseph Lefebvre,2.396566,48.859053,1822-01-01T00:00:00Z,123.0,1822.0,0
tombe d'Allan Kardec,2.394444,48.862222,1870-01-01T00:00:00Z,53.0,1870.0,0
tombe de Luigi Cherubini,2.392758,48.860236,1846-01-01T00:00:00Z,2.0,1846.0,0
arc de triomphe de l'Étoile,2.295,48.8738,1836-01-01T00:00:00Z,49.54,1836.0,0
théâtre de l'Odéon,2.33875,48.8495,1782-04-09T00:00:00Z,,1782.0,0
palais de la Porte Dorée,2.40944444444,48.83527777778,1931-01-01T00:00:00Z,,1931.0,0
église Saint-Joseph-des-Carmes,2.330353,48.848492,1620-01-01T00:00:00Z,,1620.0,0
casino de Paris,2.330117,48.878358,1895-01-01T00:00:00Z,,1895.0,0
église Saint-Jean-Bosco,2.3980556,48.855,1937-01-01T00:00:00Z,,1937.0,0
église Saint-Julien-le-Pauvre,2.346944,48.851944,1200-01-01T00:00:00Z,,1200.0,0
galerie Colbert,2.33936111,48.86683333,1826-01-01T00:00:00Z,,1826.0,0
galerie Vivienne,2.33972222,48.86666667,1823-01-01T00:00:00Z,,1823.0,0
Rue Saint-Maur,2.3794812,48.8643338,1904-10-19T00:00:00Z,,1904.0,0
église Saint-Denys-du-Saint-Sacrement,2.364722,48.86,1826-01-01T00:00:00Z,,1826.0,0
pont des Arts,2.3375,48.85833333333,1804-01-01T00:00:00Z,,1804.0,0
grande synagogue de Paris,2.33639,48.8756,1867-01-01T00:00:00Z,,1867.0,0
place des Victoires,2.3411111111099996,48.86583333333,1685-01-01T00:00:00Z,,1685.0,0
galerie Véro-Dodat,2.340257,48.862718,1826-01-01T00:00:00Z,,1826.0,0
grande halle de la Villette,2.39083333,48.89083333,1867-01-01T00:00:00Z,,1867.0,0
passage Jouffroy,2.342141,48.872549,1845-01-01T00:00:00Z,,1845.0,0
viaduc d'Austerlitz,2.367778,48.843611,1904-01-01T00:00:00Z,,1904.0,0
église Saint-Pierre de Montmartre,2.34194444444,48.886666666669996,1101-01-01T00:00:00Z,,1101.0,0
théâtre de la Ville,2.34811944444,48.85721111111,1862-01-01T00:00:00Z,,1862.0,0
église Sainte-Marguerite,2.38111,48.8528,1625-01-01T00:00:00Z,,1625.0,0
Plaza Athénée,2.304369,48.866203,1911-01-01T00:00:00Z,,1911.0,0
église Notre-Dame-de-l'Assomption,2.325278,48.867222,1676-01-01T00:00:00Z,,1676.0,0
fontaine du Marché-aux-Carmes,2.3368,48.8569,1830-01-01T00:00:00Z,,1830.0,0
fontaine du Fellah,2.3212,48.8487,1806-01-01T00:00:00Z,,1806.0,0
hôtel de Mademoiselle Mars,2.33409,48.87762,1820-01-01T00:00:00Z,,1820.0,0
hôtel de Rohan-Guémené,2.3663888888900004,48.85472222222,1605-01-01T00:00:00Z,,1605.0,0
hôtel de la Païva,2.30758056,48.86926111,1856-01-01T00:00:00Z,,1856.0,0
"Le Travail, par l'Industrie et le Commerce, enrichit l'Humanité",2.34231,48.8697,1900-01-01T00:00:00Z,,1900.0,0
Lion de Belfort,2.33245,48.8344,1880-01-01T00:00:00Z,,1880.0,0
lycée Jules-Ferry,2.33,48.88416667,1913-10-26T00:00:00Z,,1913.0,0
lycée Chaptal,2.3199,48.8813,1844-01-01T00:00:00Z,,1844.0,0
lycée Fénelon,2.34038333,48.85315278,1892-01-01T00:00:00Z,,1892.0,0
lycée Lamartine,2.3488888888900004,48.878333333330005,1893-01-01T00:00:00Z,,1893.0,0
mairie du 2e arrondissement de Paris,2.33972,48.8669,1848-01-01T00:00:00Z,,1848.0,0
mairie du 7e arrondissement de Paris,2.32028,48.8569,1862-01-01T00:00:00Z,,1862.0,0
mairie du 5e arrondissement de Paris,2.3444,48.8458,1849-01-01T00:00:00Z,,1849.0,0
maison La Roche,2.2653,48.8519,1923-01-01T00:00:00Z,,1923.0,0
maison des Métallos,2.37771,48.8677,1881-01-01T00:00:00Z,,1881.0,0
tombe d'Héloïse et Abélard,2.39189166667,48.85920833333,1817-11-06T00:00:00Z,,1817.0,0
tombe de Pierre Cartellier,2.39416666667,48.861944444440006,1831-06-01T00:00:00Z,,1831.0,0
monument funéraire de Dantan,2.3923,48.8587,1859-01-01T00:00:00Z,,1859.0,0
tombe de Georges Guët,2.394955,48.859463,1907-01-01T00:00:00Z,,1907.0,0
monument funéraire de La Fontaine,2.39488888889,48.86111111111,1817-01-01T00:00:00Z,,1817.0,0
monument funéraire de Molière,2.39488888889,48.86111111111,1817-01-01T00:00:00Z,,1817.0,0
tombe de l'abbé Delille,2.3929388888900003,48.86049166667,1813-05-01T00:00:00Z,,1813.0,0
tombe de Paul Baudry,2.39166666667,48.86083333333,1890-02-21T00:00:00Z,,1890.0,0
musée Clemenceau,2.2850833333300002,48.85916666667,1931-01-01T00:00:00Z,,1931.0,0
mémorial des Martyrs de la Déportation,2.3525,48.85166666667,1962-01-01T00:00:00Z,,1962.0,0
palais de l'Alma,2.3,48.8617,1664-01-01T00:00:00Z,,1664.0,0
passage Molière,2.35152,48.8623,1791-01-01T00:00:00Z,,1791.0,0
passage Sainte-Anne,2.33592,48.868,1829-01-01T00:00:00Z,,1829.0,0
passage Vendôme,2.36406,48.8663,1827-01-01T00:00:00Z,,1827.0,0
passage des Deux-Pavillons,2.33897,48.8661,1820-01-01T00:00:00Z,,1820.0,0
passage des Princes,2.33938,48.8715,1860-01-01T00:00:00Z,,1860.0,0
place de l'Odéon,2.33861,48.8497,1779-01-01T00:00:00Z,,1779.0,0
place de la Porte-de-Saint-Cloud,2.25698,48.8379,1928-01-01T00:00:00Z,,1928.0,0
pyramide du bois de Vincennes,2.44517,48.8339,1731-01-01T00:00:00Z,,1731.0,0
rue des Colonnes,2.33947,48.8693,1795-01-01T00:00:00Z,,1795.0,0
carrières des Capucins,2.3325,48.8339,1983-01-01T00:00:00Z,,1983.0,0
Pharamond,2.34849,48.863,1832-01-01T00:00:00Z,,1832.0,0
hôtel Talhouët,2.3147,48.8694,1861-01-01T00:00:00Z,,1861.0,0
église de la Rédemption,2.3398056,48.8736944,1843-01-01T00:00:00Z,,1843.0,0
église réformée du Saint-Esprit,2.319885,48.873229,1865-01-01T00:00:00Z,,1865.0,0
mairie de Grenelle,2.29166666667,48.84555555556,1825-01-01T00:00:00Z,,1825.0,0
tombe de Jean-Louis Greffulhe,2.39544,48.86053,1810-01-01T00:00:00Z,,1810.0,0
pâtisserie Stohrer,2.346944,48.865278,1730-01-01T00:00:00Z,,1730.0,0
tombe de David Sintzheim,2.391738,48.858955,1812-02-01T00:00:00Z,,1812.0,0
tombe d'Elisabeth Alexandrovna Demidoff,2.395159,48.85971,1818-04-01T00:00:00Z,,1818.0,0
tombe de Louis Visconti,2.390556,48.860556,1859-01-01T00:00:00Z,,1859.0,0
tombe d'Edmond About,2.396883,48.858601,1887-12-20T00:00:00Z,,1887.0,0
tombe d'Alexandre Aguado,2.394614,48.861614,1844-01-01T00:00:00Z,,1844.0,0
tombe de Marchal de Calvi,2.396827,48.862677,1874-02-24T00:00:00Z,,1874.0,0
tombe d'Eugène Gautier,2.39025,48.860472222220004,1879-04-02T00:00:00Z,,1879.0,0
tombe de la famille Malet,2.3935,48.860278,1822-01-01T00:00:00Z,,1822.0,0
statue équestre d'Henri IV,2.34083,48.8572,1818-01-01T00:00:00Z,,1818.0,0
statue équestre de Jeanne d'Arc,2.332028,48.863819,1874-01-01T00:00:00Z,,1874.0,0
statue équestre de Louis XIV,2.3411111111099996,48.86583333333,1822-01-01T00:00:00Z,,1822.0,0
église Saint-Bernard de la Chapelle,2.355,48.88611111111,1861-01-01T00:00:00Z,,1861.0,0
théâtre Grévin,2.34222,48.8717,1900-01-01T00:00:00Z,,1900.0,0
théâtre Mogador,2.33111111111,48.87527777778,1913-01-01T00:00:00Z,,1913.0,0
tombe du Dragon,2.39587777778,48.85906388889,1809-01-01T00:00:00Z,,1809.0,0
tour Albert,2.35181,48.8325,1958-01-01T00:00:00Z,,1958.0,0
église Notre-Dame-de-Compassion,2.28325,48.8814,1843-01-01T00:00:00Z,,1843.0,0
église Notre-Dame-de-la-Nativité de Bercy,2.38708,48.8362,1870-01-01T00:00:00Z,,1870.0,0
église Saint-Christophe-de-Javel,2.2795,48.8445,1930-01-01T00:00:00Z,,1930.0,0
église Saint-Jean-Baptiste de Belleville,2.3893,48.8757,1859-08-11T00:00:00Z,,1859.0,0
église Saint-Pierre-de-Chaillot,2.29847,48.8677,1938-01-01T00:00:00Z,,1938.0,0
église Saint-Pierre-du-Gros-Caillou,2.30525,48.8595,1822-01-01T00:00:00Z,,1822.0,0
église Saint-Thomas-d'Aquin de Paris,2.3275,48.85638888889,1683-01-01T00:00:00Z,,1683.0,0
église Saint-Éphrem-le-Syriaque,2.34778,48.8483,1733-01-01T00:00:00Z,,1733.0,0
église Sainte-Odile,2.29297,48.8871,1946-01-01T00:00:00Z,,1946.0,0
église des Saints-Archanges,2.34722,48.8494,1374-01-01T00:00:00Z,,1374.0,0
maison Jeanneret,2.26528,48.8519,1923-01-01T00:00:00Z,,1923.0,0
tombe d'Oscar Wilde,2.398139,48.861889,1914-01-01T00:00:00Z,,1914.0,0
tombe de Théodore Barrière,2.39256,48.862547,1882-10-30T00:00:00Z,,1882.0,0
"boucherie, 178 rue de la Convention",2.294167,48.838056,1907-01-01T00:00:00Z,,1907.0,0
monument d'Aguesseau,2.268594,48.847387,1753-01-01T00:00:00Z,,1753.0,0
couvent des Feuillantines,2.342222,48.841917,1626-01-01T00:00:00Z,,1626.0,0
monastère des Bénédictins anglais,2.341361,48.841556,1674-01-01T00:00:00Z,,1674.0,0
hôtel de Rothembourg,2.32677,48.84892,1720-01-01T00:00:00Z,,1720.0,0
hôtel de Beauharnais,2.32644,48.87354,1803-01-01T00:00:00Z,,1803.0,0
hôtel Moïse de Camondo,2.3128,48.87883,1914-01-01T00:00:00Z,,1914.0,0
hôtel de Boisgelin,2.32202,48.85404,1732-01-01T00:00:00Z,,1732.0,0
immeuble Lavirotte,2.30094,48.8591,1900-01-01T00:00:00Z,,1900.0,0
institut national des jeunes sourds,2.341306,48.843306,1760-01-01T00:00:00Z,,1760.0,0
institut national des jeunes aveugles,2.31555555556,48.8475,1784-01-01T00:00:00Z,,1784.0,0
InterContinental Paris le Grand,2.33111111,48.87083333,1862-01-01T00:00:00Z,,1862.0,0
Le Baiser,2.326135,48.838223,1909-01-01T00:00:00Z,,1909.0,0
salle Wagram,2.2969444444400002,48.87666666667,1865-01-01T00:00:00Z,,1865.0,0
square D'Estienne-d'Orves,2.33187,48.8768,1867-01-01T00:00:00Z,,1867.0,0
square René-Le Gall,2.34961,48.8324,1938-01-01T00:00:00Z,,1938.0,0
square Saint-Lambert,2.29694,48.8422,1933-01-01T00:00:00Z,,1933.0,0
chapelle Saint-Yves,2.332988,48.825539,1925-01-01T00:00:00Z,,1925.0,0
institut Cervantes,2.299267,48.86612,1952-10-20T00:00:00Z,,1952.0,0
église du Bon-Secours,2.386389,48.851944,1895-01-01T00:00:00Z,,1895.0,0
bibliothèque Sainte-Geneviève,2.34583333333,48.847083333330005,1851-01-01T00:00:00Z,,1851.0,0
"immeuble, 1 rue Jacques-Callot",2.33666666667,48.855833333330004,1933-01-01T00:00:00Z,,1933.0,0
atelier du sculpteur Quillivic,2.26194444444,48.85027777778,1924-01-01T00:00:00Z,,1924.0,0
église du Saint-Esprit,2.3976,48.8381,1935-01-01T00:00:00Z,,1935.0,0
église Saint-Jacques-du-Haut-Pas,2.34138888889,48.84361111111,1685-05-06T00:00:00Z,,1685.0,0
couvent de la Merci à Paris,2.3567,48.8603,1727-01-01T00:00:00Z,,1727.0,0
maison des étudiants,2.348449,48.851799,1905-01-01T00:00:00Z,,1905.0,0
