wikiID,nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,mannersOfDeath,placeOfBurialLabel,fatherLabel,motherLabel,spouses,startTime,endTime,startYear,endYear,birthYear,deathYear,urlImage
Q134259,Louis VII de France,1120-01-01T00:00:00Z,Paris,1180-09-25T00:00:00Z,Paris,,basilique Saint-Denis,Louis VI de France,Adélaïde de Savoie,"Constance de Castille, Adèle de Champagne, Aliénor d'Aquitaine",1137-08-08T00:00:00Z,1180-09-25T00:00:00Z,1137,1180,1120,1180,https://upload.wikimedia.org/wikipedia/commons/c/c1/Louis_VII_le_Jeune.jpg
Q165284,Louis VIII de France,1187-09-12T00:00:00Z,Paris,1226-11-15T00:00:00Z,Montpensier,dysentérie,basilique Saint-Denis,Philippe II Auguste,Isabelle de Hainaut,Blanche de Castille,1223-07-21T00:00:00Z,1226-11-15T00:00:00Z,1223,1226,1187,1226,https://upload.wikimedia.org/wikipedia/commons/3/35/Conquest_of_Avignon_by_Louis_VIII_%281226%29.jpg
Q133372,Charles VII de France,1403-03-03T00:00:00Z,Paris,1461-07-31T00:00:00Z,Mehun-sur-Yèvre,,basilique Saint-Denis,Charles VI,Isabeau de Bavière,Marie d'Anjou,1422-11-08T00:00:00Z,1461-08-09T00:00:00Z,1422,1461,1403,1461,https://upload.wikimedia.org/wikipedia/commons/7/71/KarlVII.jpg
Q159575,Hugues Capet,0940-01-01T00:00:00Z,Dourdan,0996-10-29T00:00:00Z,Les Juifs,,basilique Saint-Denis,Hugues le Grand,Hedwige de Saxe,Adélaïde d'Aquitaine,0987-06-08T00:00:00Z,0996-10-29T00:00:00Z,987,996,940,996,https://upload.wikimedia.org/wikipedia/commons/f/fd/Coronation_of_Hugues_Capet_2.jpg
Q165883,Louis VI de France,1081-12-07T00:00:00Z,Paris,1137-08-08T00:00:00Z,château de la Douye,,basilique Saint-Denis,Philippe Ier de France,Berthe de Hollande,"Lucienne de Rochefort, Adélaïde de Savoie",1108-08-06T00:00:00Z,1137-08-08T00:00:00Z,1108,1137,1081,1137,https://upload.wikimedia.org/wikipedia/commons/f/f9/Louis_VI_le_Gros.jpg
Q132545,Henri II,1519-04-10T00:00:00Z,Saint-Germain-en-Laye,1559-07-20T00:00:00Z,hôtel des Tournelles,,basilique Saint-Denis,François Ier,Claude de France,Catherine de Médicis,1547-04-10T00:00:00Z,1559-07-20T00:00:00Z,1547,1559,1519,1559,https://upload.wikimedia.org/wikipedia/commons/a/a8/Henri_II_roi_de_France.jpg
Q134452,Charles VIII,1470-07-09T00:00:00Z,Amboise,1498-04-16T00:00:00Z,Amboise,accident vasculaire cérébral,basilique Saint-Denis,Louis XI,Charlotte de Savoie,Anne de Bretagne,1483-09-17T00:00:00Z,1498-04-25T00:00:00Z,1483,1498,1470,1498,https://upload.wikimedia.org/wikipedia/commons/b/b4/Charles_VIII_Ecole_Francaise_16th_century_Musee_de_Conde_Chantilly.jpg
Q160349,Charles VI,1368-12-11T00:00:00Z,Paris,1422-10-30T00:00:00Z,Paris,paludisme,basilique Saint-Denis,Charles V de France,Jeanne de Bourbon,Isabeau de Bavière,1380-09-24T00:00:00Z,1422-10-30T00:00:00Z,1380,1422,1368,1422,https://upload.wikimedia.org/wikipedia/commons/0/0a/Charles_VI_de_France_-_Dialogues_de_Pierre_Salmon_-_Bib_de_Gen%C3%A8ve_MsFr165f4.jpg
Q178908,Henri Ier de France,1008-05-04T00:00:00Z,Reims,1060-08-04T00:00:00Z,Vitry-aux-Loges,,basilique Saint-Denis,Robert II de France,Constance d'Arles,"Mathilde de Franconie, Anne de Kiev, Mathilde de Frise",1031-07-16T00:00:00Z,1060-08-10T00:00:00Z,1031,1060,1008,1060,https://upload.wikimedia.org/wikipedia/commons/3/30/HendrikIFr.jpg
Q167782,Charles V de France,1338-01-29T00:00:00Z,Vincennes,1380-09-24T00:00:00Z,Paris,maladie infectieuse,basilique Saint-Denis,Jean II de France,Bonne de Luxembourg,Jeanne de Bourbon,1364-04-16T00:00:00Z,1380-09-24T00:00:00Z,1364,1380,1338,1380,https://upload.wikimedia.org/wikipedia/commons/8/84/Saint-%C3%88vre_-_Charles_V_of_France.jpg
Q170586,Philippe VI de France,1293-11-24T00:00:00Z,Fontainebleau,1350-08-30T00:00:00Z,Reims,peste,basilique Saint-Denis,Charles de Valois,Marguerite d'Anjou,"Blanche de Navarre, Jeanne de Bourgogne",1328-04-09T00:00:00Z,1350-08-30T00:00:00Z,1328,1350,1293,1350,https://upload.wikimedia.org/wikipedia/commons/5/50/Robert-Fleury_-_Philip_VI_of_France.jpg
Q174964,Charles IV de France,1294-06-25T00:00:00Z,Creil,1328-02-09T00:00:00Z,Vincennes,tuberculose,basilique Saint-Denis,Philippe IV de France,Jeanne Ire de Navarre,"Blanche de Bourgogne, Marie de Luxembourg, Jeanne d'Évreux",1322-01-11T00:00:00Z,1328-02-09T00:00:00Z,1322,1328,1294,1328,https://upload.wikimedia.org/wikipedia/commons/0/04/Charles_IV_le_Bel.jpg
Q178918,Robert II de France,0972-04-01T00:00:00Z,Orléans,1031-07-26T00:00:00Z,Melun,,basilique Saint-Denis,Hugues Capet,Adélaïde d'Aquitaine,"Rozala d'Italie, Berthe de Bourgogne, Constance d'Arles",0996-10-29T00:00:00Z,1031-07-26T00:00:00Z,996,1031,972,1031,https://upload.wikimedia.org/wikipedia/commons/d/d9/Robert_II_of_France_%28coloured%29.jpg
Q134309,Charles IX,1550-07-07T00:00:00Z,Saint-Germain-en-Laye,1574-06-09T00:00:00Z,Vincennes,tuberculose,basilique Saint-Denis,Henri II,Catherine de Médicis,Élisabeth d'Autriche,1560-12-25T00:00:00Z,1574-06-19T00:00:00Z,1560,1574,1550,1574,https://upload.wikimedia.org/wikipedia/commons/a/ac/Bemberg_Fondation_Toulouse_-_Portrait_de_Charles_IX_-_Fran%C3%A7ois_Clouet_-_Inv.1012.jpg
Q130969,Philippe IV de France,1268-01-01T00:00:00Z,Fontainebleau,1314-12-07T00:00:00Z,Fontainebleau,"accident de chasse, accident vasculaire cérébral",basilique Saint-Denis,Philippe III de France,Isabelle d'Aragon,Jeanne Ire de Navarre,1285-10-12T00:00:00Z,1314-12-07T00:00:00Z,1285,1314,1268,1314,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bust_of_Philippe_le_Bel_SaintDenis.jpg
Q132548,François II,1544-01-29T00:00:00Z,Fontainebleau,1560-12-15T00:00:00Z,Paris,méningite,basilique Saint-Denis,Henri II,Catherine de Médicis,Marie Stuart,1559-07-30T00:00:00Z,1560-12-25T00:00:00Z,1559,1560,1544,1560,https://upload.wikimedia.org/wikipedia/commons/c/c9/FrancoisII.jpg
Q737533,Louis XIII,1601-09-27T00:00:00Z,Fontainebleau,1643-05-14T00:00:00Z,Saint-Germain-en-Laye,tuberculose,basilique Saint-Denis,Henri IV,Marie de Médicis,Anne d'Autriche,1610-05-14T00:00:00Z,1643-05-14T00:00:00Z,1610,1643,1601,1643,https://upload.wikimedia.org/wikipedia/commons/4/4e/Louis_XIIIval_grace.jpg
Q936976,Henri IV,1553-12-23T00:00:00Z,château de Pau,1610-05-14T00:00:00Z,Paris,blessure par arme blanche,basilique Saint-Denis,Antoine de Bourbon,Jeanne d'Albret,"Marguerite de France, Marie de Médicis",1572-06-19T00:00:00Z,1610-05-14T00:00:00Z,1572,1610,1553,1610,https://upload.wikimedia.org/wikipedia/commons/8/87/Augustins_-_Henri_IV%2C_roi_de_France_et_de_Navarre_-_Jacques_Boulb%C3%A8ne.jpg
Q129857,François Ier,1494-09-21T00:00:00Z,Cognac,1547-04-10T00:00:00Z,Rambouillet,maladie,basilique Saint-Denis,Charles d'Orléans,Louise de Savoie,"Éléonore de Habsbourg, Claude de France",1515-01-11T00:00:00Z,1547-04-10T00:00:00Z,1515,1547,1494,1547,https://upload.wikimedia.org/wikipedia/commons/8/87/Fran%C3%A7ois_Ier_Louvre.jpg
Q169992,Jean II de France,1319-04-24T00:00:00Z,Le Mans,1364-04-16T00:00:00Z,Londres,,basilique Saint-Denis,Philippe VI de France,Jeanne de Bourgogne,"Jeanne Ire d'Auvergne, Bonne de Luxembourg",1350-08-30T00:00:00Z,1364-04-16T00:00:00Z,1350,1364,1319,1364,https://upload.wikimedia.org/wikipedia/commons/3/3c/14th-century_unknown_painters_-_Portrait_of_Jean_le_Bon%2C_King_of_France_-_WGA23666.jpg
Q58907,Philippe Ier de France,1052-05-29T00:00:00Z,Champagne-et-Fontaine,1108-08-05T00:00:00Z,Melun,,abbaye de Saint-Benoît-sur-Loire,Henri Ier de France,Anne de Kiev,"Bertrade de Montfort, Berthe de Hollande",1060-08-10T00:00:00Z,1108-08-05T00:00:00Z,1060,1108,1052,1108,https://upload.wikimedia.org/wikipedia/commons/d/d5/Philippe_Ier.jpg
Q172203,Philippe III de France,1245-04-10T00:00:00Z,Poissy,1285-10-12T00:00:00Z,Perpignan,dysentérie,basilique Saint-Denis,Saint Louis,Marguerite de Provence,"Isabelle d'Aragon, Marie de Brabant",1270-09-01T00:00:00Z,1285-10-12T00:00:00Z,1270,1285,1245,1285,https://upload.wikimedia.org/wikipedia/commons/2/25/Jollivet_-_Philip_III_of_France.jpg
Q34428,Philippe II Auguste,1165-08-28T00:00:00Z,Paris,1223-07-21T00:00:00Z,Mantes-la-Jolie,,basilique Saint-Denis,Louis VII de France,Adèle de Champagne,"Agnès de Méranie, Isabelle de Hainaut, Ingeburge de Danemark",1180-09-25T00:00:00Z,1223-07-21T00:00:00Z,1180,1223,1165,1223,https://upload.wikimedia.org/wikipedia/commons/d/dc/Sceau_de_Philippe_Auguste._-_Archives_Nationales_-_SC-D157.jpg
Q346,Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,"dysentérie, scorbut",basilique Saint-Denis,Louis VIII de France,Blanche de Castille,Marguerite de Provence,1226-11-15T00:00:00Z,1270-09-01T00:00:00Z,1226,1270,1214,1270,https://upload.wikimedia.org/wikipedia/commons/f/f7/Premier_sceau_de_majest%C3%A9_de_Louis_IX_d%C3%A9tour%C3%A9.png
Q53448,Henri III,1551-09-29T00:00:00Z,château de Fontainebleau,1589-08-02T00:00:00Z,Saint-Cloud,blessure par arme blanche,basilique Saint-Denis,Henri II,Catherine de Médicis,Louise de Lorraine,1573-05-11T00:00:00Z,1574-06-18T00:00:00Z,1573,1574,1551,1589,https://upload.wikimedia.org/wikipedia/commons/f/f1/Henri_III_Versailles.jpg
Q58514,Louis XII,1462-07-06T00:00:00Z,Blois,1515-01-11T00:00:00Z,Paris,,basilique Saint-Denis,Charles d'Orléans,Marie de Clèves,"Marie d'Angleterre, Jeanne de France, Anne de Bretagne",1498-04-25T00:00:00Z,1515-01-11T00:00:00Z,1498,1515,1462,1515,https://upload.wikimedia.org/wikipedia/commons/1/13/Louis-xii-roi-de-france.jpg
Q8058,Louis XI,1423-07-12T00:00:00Z,Bourges,1483-09-08T00:00:00Z,château de Plessis-lès-Tours,accident vasculaire cérébral,basilique Notre-Dame de Cléry,Charles VII de France,Marie d'Anjou,"Marguerite d'Écosse, Charlotte de Savoie",1461-08-09T00:00:00Z,1483-09-17T00:00:00Z,1461,1483,1423,1483,https://upload.wikimedia.org/wikipedia/commons/6/60/Louis-XI.jpg
Q7732,Louis XVI,1754-08-23T00:00:00Z,château de Versailles,1793-01-21T00:00:00Z,place de la Concorde,"décapitation, guillotine",basilique Saint-Denis,Louis de France,Marie-Josèphe de Saxe,Marie-Antoinette,1791-09-04T00:00:00Z,1792-08-10T00:00:00Z,1791,1792,1754,1793,https://upload.wikimedia.org/wikipedia/commons/d/da/Louis_xvi.jpg
Q7742,Louis XIV,1638-09-05T00:00:00Z,château de Saint-Germain-en-Laye,1715-09-01T00:00:00Z,château de Versailles,gangrène,basilique Saint-Denis,Louis XIII,Anne d'Autriche,"Madame de Maintenon, Marie-Thérèse d'Autriche",1643-05-14T00:00:00Z,1715-09-01T00:00:00Z,1643,1715,1638,1715,https://upload.wikimedia.org/wikipedia/commons/d/d8/Louis_XIV.jpg
Q7758,Charles X,1757-10-09T00:00:00Z,Versailles,1836-11-06T00:00:00Z,Gorizia,choléra,église de l'Annonciation de Kostanjevica,Louis de France,Marie-Josèphe de Saxe,Marie-Thérèse de Savoie,1824-09-16T00:00:00Z,1830-08-02T00:00:00Z,1824,1830,1757,1836,https://upload.wikimedia.org/wikipedia/commons/b/b1/Charles_X_of_France_1.PNG
Q8433,Philippe V de France,1293-01-01T00:00:00Z,Vincennes,1322-01-11T00:00:00Z,abbaye royale de Longchamp,infection,basilique Saint-Denis,Philippe IV de France,Jeanne Ire de Navarre,Jeanne de Bourgogne,1316-11-27T00:00:00Z,1322-01-11T00:00:00Z,1316,1322,1293,1322,https://upload.wikimedia.org/wikipedia/commons/c/c0/Philippe_V_Le_Long.JPG
Q7738,Louis XV,1710-02-15T00:00:00Z,Versailles,1774-05-10T00:00:00Z,Versailles,variole,basilique Saint-Denis,Louis de France,Marie-Adélaïde de Savoie,Marie Leszczyńska,1715-09-01T00:00:00Z,1774-05-10T00:00:00Z,1715,1774,1710,1774,https://upload.wikimedia.org/wikipedia/commons/7/7a/Louis_XV%3B_Buste.jpg
Q7750,Louis XVIII,1755-11-17T00:00:00Z,Versailles,1824-09-16T00:00:00Z,Paris,maladie,basilique Saint-Denis,Louis de France,Marie-Josèphe de Saxe,Marie-Joséphine de Savoie,1815-07-08T00:00:00Z,1824-09-16T00:00:00Z,1815,1824,1755,1824,https://upload.wikimedia.org/wikipedia/commons/a/a9/Louis_XVIII_of_France.png
